Rank,Author,Score,Students
1728,"Thomas B. Fomby Department of Economics, Southern Methodist University, Dallas, Texas (USA)",1821.03,1
1729,"Michael J. Pries Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",1822.46,1.5
1730,"Mikulas  Luptacik Department Volkswirtschaft, WU Wirtschaftsuniversität Wien, Wien, Austria",1823.07,1
1731,"Klaus  Walde Gutenberg School of Management and Economics, Johannes Gutenberg-Universität Mainz, Mainz, Germany",1823.89,1
1732,Birgit  Grodal †,1826.04,1
1733,"Lars Garn Hansen Institut for Fødevare- og Ressourceøkonomi, Københavns Universitet, København, Denmark",1826.17,3
1734,"Pascal  Courty Department of Economics, University of Victoria, Victoria, Canada",1826.85,1
1735,"Robert Norman Stavins Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",1826.87,0.5
1736,"Diana  Weinhold Department of International Development, London School of Economics (LSE), London, United Kingdom",1828.26,3.5
1737,"Monika  Merz Institute of Labor Economics (IZA), Bonn, Germany",1829.06,1
1738,"Alain  Delacroix Département des Sciences Économiques, École des Sciences de la Gestion (ESG), Université du Québec à Montréal (UQAM), Montréal, Canada",1829.2,0.5
1739,"Donna B. Gilleskie Department of Economics, University of North Carolina-Chapel-Hill, Chapel Hill, North Carolina (USA)",1829.23,2
1740,"Graham M Voss Department of Economics, University of Victoria, Victoria, Canada",1829.46,3
1741,"Sandra E. Black Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1829.71,1
1742,"Geoff(rey) Colin Harcourt School of Economics, UNSW Business School, UNSW Sydney, Sydney, Australia",1831.22,2
1743,"Susan  Pozo Department of Economics, Western Michigan University, Kalamazoo, Michigan (USA)",1831.47,1
1744,Irma  Adelman †,1832.94,1
1745,"Rob J Hyndman Department of Econometrics and Business Statistics, Monash Business School, Monash University, Melbourne, Australia",1833.37,2
1746,"Li  Gan Department of Economics, Texas A&M University, College Station, Texas (USA)",1834.99,1
1747,"Guido  Erreygers Departement Algemene economie, Faculteit Toegepaste Economische Wetenschappen, Universiteit Antwerpen, Antwerpen, Belgium",1835.05,0.5
1748,Laurence R. Iannaccone,1835.57,1
1749,"Mireille  Chiroleu-Assouline Paris School of Economics, Paris, France",1838.67,3.5
1750,"Yannick  Lung Groupe de Recherche en Économie Théorique et Appliquée (GREThA), Université de Bordeaux, Bordeaux, France",1841.83,2
1751,"Javier  Ordonez Departament d'Economia, Universitat Jaume I, Castellón de la Plana, Spain",1842.3,0.5
1752,"Boris E. Bravo-Ureta Department of Agricultural and Resource Economics, University of Connecticut, Storrs, Connecticut (USA)",1843.9,3
1753,"Fabio  Milani Department of Economics, University of California-Irvine, Irvine, California (USA)",1844.21,4
1754,"Michel R. De Vroey Institut de Recherche Économique et Sociale (IRES), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",1844.25,1.5
1755,"Ron  Boschma Disciplinegroep Economische Geografie, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht, Utrecht, Netherlands",1846.7,0.5
1756,"Constantinos  Syropoulos School of Economics, LeBow College of Business, Drexel University, Philadelphia, Pennsylvania (USA)",1846.8,1
1757,"Michel  Mignolet Centre de Recherche en Économie Régionale et Politique Économique (CERPE), Faculté des Sciences Économiques, Sociales et de Gestion (FSESG), Université de Namur, Namur, Belgium",1848.58,1
1758,"Bharat R. Hazari Department of Economics and Finance, College of Business, City University, Kowloon, Hong Kong",1849.21,1
1759,"Alan G  Isaac Department of Economics, American University, Washington, District of Columbia (USA)",1849.57,1
1760,"Sheila Christine Dow Economics Division, Stirling Management School, University of Stirling, Stirling, United Kingdom",1851.09,1
1761,"Mark E Schaffer Department of Accountancy, Economics and Finance, Heriot-Watt University, Edinburgh, United Kingdom",1852.14,1.5
1762,Andrew  Scott,1852.47,0.5
1763,"Ulrich  Kamecke Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, Germany",1855.48,1
1764,"Kaz  Miyagiwa Department of Economics, Florida International University, Miami, Florida (USA)",1856.13,1
1765,"Yoto V. Yotov School of Economics, LeBow College of Business, Drexel University, Philadelphia, Pennsylvania (USA)",1859.11,1
1766,"Ozlem  Onaran Greenwich Political Economy Research Centre, Business School, University of Greenwich, London, United Kingdom",1859.38,4
1767,"Arup  Daripa Department of Economics, Mathematics and Statistics, Birkbeck College, London, United Kingdom",1861.41,1
1768,"Koen  Frenken Copernicus Institute for Sustainable Development and Innovation, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht, Utrecht, Netherlands",1861.78,0.5
1769,"Bernd  Lucke Fachbereich Volkswirtschaftslehre, Universität Hamburg, Hamburg, Germany",1862.98,1
1770,"Susana  Mourato Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",1863.33,1
1771,"Alan Patrick Hamlin Department of Political Economy, King's College London, London, United Kingdom",1865.23,1
1772,"Marius  Ooms Afdeling Econometrie and Operations Research, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",1865.3,1.5
1773,"James R. Melvin Department of Economics, University of Western Ontario, London, Canada",1865.82,1
1774,"Roy E. Bailey Economics Department, University of Essex, Colchester, United Kingdom",1867.13,0.5
1775,"Salvador  Navarro Department of Economics, University of Western Ontario, London, Canada",1868.31,1
1776,"Marcos  Vera-Hernandez Department of Economics, University College London (UCL), London, United Kingdom",1868.45,1.5
1777,"Kim P. Huynh Bank of Canada, Ottawa, Canada",1869.3,4.5
1778,"Daniel  McMillen Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",1869.41,1
1779,"Paul  Rothstein Consumer Financial Protection Bureau, Government of the United States, Washington, District of Columbia (USA)",1869.68,1.5
1780,"Mikhail  Golosov Department of Economics, University of Chicago, Chicago, Illinois (USA)",1871.48,1
1781,"Yang-Ming  Chang Department of Economics, Kansas State University, Manhattan, Kansas (USA)",1871.54,3
1782,"Michael  Gasiorek Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",1871.57,2.5
1783,"Prashant  Bharadwaj Economic Growth Center, Economics Department, Yale University, New Haven, Connecticut (USA)",1874.26,1
1784,"Rachel  Kranton Department of Economics, Duke University, Durham, North Carolina (USA)",1876.39,0.5
1785,"Jakob B. Madsen Department of Economics, Business School, University of Western Australia, Perth, Australia",1878.03,3.5
1786,"Francesco  Aiello Dipartimento di Scienze Economiche, Statistiche e Finanziarie ""Giovanni Anania"", Università degli Studi della Calabria, Arcavacata di Rende, Italy",1879.96,2
1787,"Mario A. Maggioni Dipartimento di Economia Internazionale, delle Istituzioni e dello Sviluppo (DISEIS), Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore, Milano, Italy",1881.62,2
1788,"Frederic  Mishkin Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",1883.33,1
1789,"Konstantinos  Angelopoulos Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",1883.48,0.5
1790,"Peter  Orazem Department of Economics, Iowa State University, Ames, Iowa (USA)",1884.15,2
1791,"Uta  Schoenberg Department of Economics, University College London (UCL), London, United Kingdom",1884.2,1.5
1792,"Jae Hoon Kim Department of Economics and Finance, La Trobe Business School, La Trobe University, Bundoora, Australia",1884.59,0.5
1793,"William Alan Masters Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy, Tufts University, Medford, Massachusetts (USA)",1885.94,3
1794,"Grayham E. Mizon Economics Division, University of Southampton, Southampton, United Kingdom",1886.88,0.5
1795,"Hannes  Winner Bereich Volkswirtschaftslehre, Paris-Lodron Universität Salzburg, Salzburg, Austria",1887.25,0.5
1796,"Koen  Schoors Faculteit Economie en Bedrijfskunde, Universiteit Gent, Gent, Belgium",1890.17,1
1797,"Jan Jakub Michalek Wydział Nauk Ekonomicznych, Uniwersytet Warszawski, Warszawa, Poland",1891.34,1
1798,"Gregory  Connor Department of Economics, Finance and Accounting, Maynooth University, Maynooth, Ireland",1891.42,1
1799,"Finn R. Forsund Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",1891.75,1
1800,"Kim  Oosterlinck Centre Emile Bernheim, Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",1892,3
1801,"Eli  Berman Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",1892.38,1
1802,"Tim  Haab Department of Agricultural, Environmental and Development Economics, Ohio State University, Columbus, Ohio (USA)",1892.39,2.5
1803,"James  Albrecht Economics Department, Georgetown University, Washington, District of Columbia (USA)",1893.56,1
1804,Luiz K. Hotta,1893.9,1
1805,"Uwe  Blien Institut für Arbeitsmarkt- und Berufsforschung (IAB), Nürnberg, Germany",1893.95,0.5
1806,"Carlisle Ford Runge Department of Applied Economics, College of Agricultural, Food, and Environmental Sciences, University of Minnesota-St. Paul, St. Paul, Minnesota (USA)",1894.68,1
1807,"Paola  Conconi European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",1895.49,0.5
1808,"Frank  Windmeijer Economics Group, Nuffield College, Department of Economics, Oxford University, Oxford, United Kingdom",1895.87,1
1809,"Derek  Laing Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",1896.32,1
1810,"Jim  Malley Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",1897.85,0.5
1811,"Tomas  Havranek Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",1899.27,7
1812,"Graziella  Bertocchi Dipartimento di Economia ""Marco Biagi"", Università degli Studi di Modena e Reggio Emilia, Modena, Italy",1899.6,2
1813,Christopher N. Avery,1899.61,0.5
1814,"Andrew  Caplin Department of Economics, New York University (NYU), New York City, New York (USA)",1899.7,1.5
1815,"William  Jack Economics Department, Georgetown University, Washington, District of Columbia (USA)",1902.24,1
1816,Mehmet  Caner,1902.37,1.5
1817,"Willem  Verschoor School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, NetherlandsTinbergen Instituut, Amsterdam, Netherlands",1902.78,0.5
1818,"Andrew Keith Leigh Research School of Economics, College of Business and Economics, Australian National University, Canberra, AustraliaInstitute of Labor Economics (IZA), Bonn, Germany",1904.06,1
1819,"Joachim  Moller Institut für Arbeitsmarkt- und Berufsforschung (IAB), Nürnberg, GermanyInstitut für Volkswirtschaftlehre einschließlich Ökonometrie, Wirtschaftswissenschaftliche Fakultät, Universität Regensburg, Regensburg, Germany",1904.46,1
1820,"Kasper  Roszbach Norges Bank, Oslo, Norway",1905.11,1
1821,"Lukas  Menkhoff DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",1905.63,1
1822,"Levent  Kockesen İktisat Bölümü, İktisadi ve İdari Bilimler Fakültesi, Koç Üniversitesi, İstanbul, Turkey",1906.44,0.5
1823,"Philippe J. Deschamps Departement für Quantitative Wirtschaftsforschung, Faculté des sciences économiques et sociales - Wirtschafts- und Sozialwissenschaftliche Fakultät, Université de Fribourg - Universität Freiburg, Fribourg/Freiburg, Switzerland",1907.74,1
1824,"Thom B. Thurston Department of Economics, Queens College, City University of New York (CUNY), New York City, New York (USA)Department of Economics, Graduate Center, City University of New York (CUNY), New York City, New York (USA)",1910.94,1
1825,"Jayasri  Dutta Department of Economics, University of Birmingham, Birmingham, United Kingdom",1911.51,1
1826,"Ilan  Noy School of Economics and Finance, Wellington School of Business and Government, Victoria University of Wellington, Wellington, New Zealand",1917.16,1
1827,Antoni  Calvo-Armengol †,1917.58,0.5
1828,"Giorgio  Brunello Dipartimento di Scienze Economiche ""Marco Fanno"", Università degli Studi di Padova, Padova, Italy",1918.09,1
1829,"James  Dow London Business School (LBS), London, United Kingdom",1918.45,1
1830,"Jan Luiten  van Zanden Centre for Global Economic History (CGEH), Universiteit Utrecht, Utrecht, Netherlands",1919.09,0.5
1831,"Xavier  Vila Unitat de Fonaments de l'Anàlisi Econòmica, Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1919.41,0.5
1832,"Igor D. Livshits Research Department, Federal Reserve Bank of Philadelphia, Philadelphia, Pennsylvania (USA)",1920.31,2
1833,"Christopher J. Coyne Economics Department, George Mason University, Fairfax, Virginia (USA)",1920.9,1
1834,"Barry  Falk Department of Economics, Iowa State University, Ames, Iowa (USA)",1921.64,2
1835,"Deborah  Wilson Centre for Market and Public Organisation (CMPO), School of Economics, Finance and Management, University of Bristol, Bristol, United Kingdom",1922.25,0.5
1836,"Duncan  Thomas Department of Economics, Duke University, Durham, North Carolina (USA)",1923.66,1
1837,"Luis M. Viceira Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",1924.31,0.5
1838,"Douglas  Webber Economics Department, Temple University, Philadelphia, Pennsylvania (USA)",1924.63,3
1839,"Charles  Noussair Economics Department, Eller College of Management, University of Arizona, Tucson, Arizona (USA)",1924.77,1.5
1840,"Ana Balcao Reis School of Business and Economics, Universidade Nova de Lisboa, Lisboa, Portugal",1924.86,0.5
1841,"Jose  Tavares School of Business and Economics, Universidade Nova de Lisboa, Lisboa, PortugalCentre for Economic Policy Research (CEPR), London, United Kingdom",1926.02,0.5
1842,Grant H. Hillier,1927.86,1
1843,"Carlo  Favero Dipartimento di Finanza, Università Commerciale Luigi Bocconi, Milano, Italy",1928.75,0.5
1844,"Pieter A. Gautier School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",1928.78,0.5
1845,"Costanza  Torricelli Centro Studi di Banca e Finanza (CEFIN), Dipartimento di Economia ""Marco Biagi"", Università degli Studi di Modena e Reggio Emilia, Modena, Italy",1931.95,1
1846,"Gerard J. van den Berg Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",1932.04,0.5
1847,"Giacomo  Corneo Abteilung Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaft, Freie Universität Berlin, Berlin, Germany",1932.49,2
1848,"Cecilia  Garcia-Penalosa Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), École d'Économie d'Aix-Marseille, Aix-Marseille Université, Marseille, France",1933.33,3
1849,"Jonathan  Levin Department of Economics, Stanford University, Stanford, California (USA)",1933.51,1
1850,"Panagiotis  Lazaridis Department of Agricultural Economics, Agricultural University of Athens, Athens, Greece",1935.05,1.5
1851,"Marc  Fleurbaey Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",1935.75,1
1852,"Mamoru  Kaneko School of Political Science and Economics, Faculty of Political Science and Economics, Waseda University, Tokyo, Japan",1935.83,1
1853,Eduard  Berenguer †,1940.49,2
1854,"Frank C. J. M. de Jong Finance Department, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",1941.07,0.5
1855,"Jose M. Marin Departamento de Economía de la Empresa, Universidad Carlos III de Madrid, Madrid, Spain",1942.14,1.5
1856,"Ian  Wooton Economics Department, University of Strathclyde, Glasgow, United Kingdom",1943.67,1
1857,"Dennis Tao Yang Darden School of Business, University of Virginia, Charlottesville, Virginia (USA)",1948.36,0.5
1858,"Vai-Lam  Mui Department of Economics, Monash Business School, Monash University, Melbourne, Australia",1948.6,0.5
1859,"Burton  Hollifield Tepper School of Business Administration, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",1949.11,1
1860,"Oliver  Fabel Institut für Betriebswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, Austria",1949.32,2
1861,Scott C. Linn,1950.13,1
1862,"Marco  Lippi Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",1950.32,0.5
1863,"Simon D. Woodcock Department of Economics, Simon Fraser University, Burnaby, Canada",1951.05,1
1864,"Marco  Bigelli Dipartimento di Scienze Aziendali, Facoltà di Economia, Alma Mater Studiorum - Università di Bologna, Bologna, Italy",1952.38,2
1865,"Barbara  Petrongolo School of Economics and Finance, Queen Mary University of London, London, United Kingdom",1954.83,1
1866,"Paul J. Zak Center for Neuroeconomic Studies (CNS), Claremont Graduate University, Claremont, California (USA)",1958.87,1
1867,"Martin  Wittenberg School of Economics, Faculty of Commerce, University of Cape Town, Cape Town, South AfricaSouthern Africa Labour and Development Research Unit (SALDRU), School of Economics, Faculty of Commerce, University of Cape Town, Cape Town, South Africa",1961.32,2.5
1868,"Robert H. Haveman Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1961.85,1
1869,"Lucas  Bretschger CER-ETH Center of Economic Research, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",1962.1,1
1870,"Xueyan  Zhao Department of Econometrics and Business Statistics, Monash Business School, Monash University, Melbourne, Australia",1962.36,2
1871,"Ekko Cornelis van Ierland Leerstoelgroep Milieu-economie en natuurlijke hulpbronnen, Wageningen Universiteit en Researchcentrum, Wageningen, Netherlands",1962.56,0.5
1872,"Luis F. Costa Unidade de Estudos sobre Complexidade e Economia (UECE), Research in Economics and Mathematics (REM), Instituto Superior de Economia e Gestão (ISEG), Universidade de Lisboa, Lisboa, Portugal",1962.78,1
1873,"Vicki  Knoblauch Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",1963.26,4
1874,"Alberto  Russo Departament d'Economia, Universitat Jaume I, Castellón de la Plana, Spain",1963.6,5
1875,"Chris  Murray Department of Economics, University of Houston, Houston, Texas (USA)",1966.01,0.5
1876,"Jushan  Bai Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1966.23,3.5
1877,"William Arnold Barnett Department of Economics, University of Kansas, Lawrence, Kansas (USA)",1966.51,2
1878,"Manuel  Santos Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",1966.61,1.5
1879,"Baris  Kaymak Département de Sciences Économiques, Université de Montréal, Montréal, Canada",1968.41,2
1880,"Menno Prasad Pradhan Afdeling Ontwikkelings Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, NetherlandsFaculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",1968.77,0.5
1881,"Gary D. Hansen Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",1971.64,1.5
1882,"Pierluigi  Balduzzi Center for Retirement Research (CRR), Boston College, Chestnut Hill, Massachusetts (USA)Finance Department, Wallace E. Carroll School of Management, Boston College, Chestnut Hill, Massachusetts (USA)",1972.69,0.5
1883,"John A. Rizzo Economics Department, Stony Brook University - SUNY, Stony Brook, New York (USA)",1972.99,2
1884,"Christian  Wey Düsseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf, Düsseldorf, Germany",1975.31,3
1885,"Richard Frederick Dickens Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",1975.41,3.5
1886,"Anton  Korinek Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",1975.86,2
1887,Maximilian  Auffhammer,1977.13,1
1888,"Hassan  Benchekroun Department of Economics, McGill University, Montréal, Canada",1978.08,1
1889,"Moshe  Kim Department of Economics, University of Haifa, Haifa, Israel",1980.24,0.5
1890,"Konstantinos  Drakos Department of Accounting and Finance, Athens University of Economics and Business (AUEB), Athens, Greece",1980.45,4
1891,"Takatoshi  Tabuchi Faculty of Global Management, Chuo University, Tokyo, Japan",1980.49,1
1892,Randolph Preston McAfee,1981.71,2
1893,"Thomas S. Jayne Department of Agricultural, Food and Resource Economics, College of Agriculture and Natural Resources, Michigan State University, East Lansing, Michigan (USA)",1982.64,1
1894,"Antonio  Filippin Dipartimento di Economia, Management e Metodi Quantitativi (DEMM), Università degli Studi di Milano, Milano, Italy",1982.68,0.5
1895,Vasile  Cocris,1982.69,1
1896,"Guy  Michaels Economics Department, London School of Economics (LSE), London, United KingdomCentre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",1984.6,1
1897,"Robin  Mason Department of Economics, Business School, University of Exeter, Exeter, United Kingdom",1985.92,1
1898,"Matz  Dahlberg Nationalekonomiska Institutionen, Uppsala Universitet, Uppsala, Sweden",1987.89,0.5
1899,"Hans-Theo  Normann Düsseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf, Düsseldorf, Germany",1988.04,3.5
1900,"John R. Livernois Department of Economics and Finance, Gordon Lang School of Business and Economics, University of Guelph, Guelph, Canada",1988.54,2.5
1901,"Fernando J. Cardim de Carvalho Instituto de Economia, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil",1988.81,1
1902,"Karl  Whelan School of Economics, University College Dublin, Dublin, Ireland",1989.93,1
1903,"John K. Dagsvik Stiftelsen Frischsenteret for samfunnsøkonomisk forskning, Universitetet i Oslo, Oslo, Norway",1991.32,1
1904,"Christian  Bayer Wirtschaftswissenschaftlicher Fachbereich, Rheinische Friedrich-Wilhelms-Universität Bonn, Bonn, Germany",1991.69,2
1905,"Rajiv  Vohra Economics Department, Brown University, Providence, Rhode Island (USA)",1991.93,0.5
1906,"Sonia Radhika Bhalotra Economics Department, University of Essex, Colchester, United Kingdom",1993.24,1
1907,"Mark  Aguiar Economics Department, University of Rochester, Rochester, New York (USA)",1994.13,2
1908,"Justin T. Leroux HEC Montréal (École des Hautes Études Commerciales), Montréal, Canada",1996.23,1
1909,"Henry Y. Wan Jr.Department of Economics, Cornell University, Ithaca, New York (USA)",1997.89,1
1910,"Jan R. Magnus Afdeling Econometrie and Operations Research, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",1998.05,1
1911,"Steven  Ambler Département des Sciences Économiques, École des Sciences de la Gestion (ESG), Université du Québec à Montréal (UQAM), Montréal, Canada",1998.3,3
1912,Dominique  Demougin,1998.55,1
1913,"Pierre  Ouellette Département des Sciences Économiques, École des Sciences de la Gestion (ESG), Université du Québec à Montréal (UQAM), Montréal, Canada",1998.77,3
1914,"Herbert  Dawid Fakultät für Wirtschaftswissenschaften, Universität Bielefeld, Bielefeld, GermanyInstitut für Mathematische Wirtschaftsforschung, Universität Bielefeld, Bielefeld, Germany",1999.03,1.5
1915,"Chris  Starmer School of Economics, University of Nottingham, Nottingham, United KingdomCentre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of Nottingham, Nottingham, United Kingdom",1999.36,1.5
1916,"Victor  Aguirregabiria Department of Economics, University of Toronto, Toronto, Canada",1999.69,6
1917,"Timothy J. Halliday Department of Economics, University of Hawaii-Manoa, Manoa, Hawaii (USA)",1999.74,2.5
1918,Adam  Szirmai †,2000.05,1
1919,"Michal  Bauer Center for Economic Research and Graduate Education and Economics Institute (CERGE-EI), Praha, Czech Republic",2000.79,1
1920,"Gerdie  Everaert Faculteit Economie en Bedrijfskunde, Universiteit Gent, Gent, Belgium",2002.51,2
1921,"Fernando  Broner Centre de Recerca en Economia Internacional (CREI), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, SpainBarcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",2002.62,1
1922,"Timothy James Coelli Centre for Efficiency and Productivity Analysis (CEPA), School of Economics, University of Queensland, Brisbane, Australia",2009.66,1.5
1923,"Christopher  Bowdler Department of Economics, Oxford University, Oxford, United Kingdom",2014.28,1
1924,"Bertrand  Melenberg https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",2014.36,1
1925,"John Christopher Beghin Department of Agricultural Economics, University of Nebraska, Lincoln, Nebraska (USA)",2015.25,2.5
1926,"Bronwyn Hughes Hall Department of Economics, University of California-Berkeley, Berkeley, California (USA)",2015.44,1
1927,"Kai  Carstensen Institut für Statistik und Ökonometrie, Christian-Albrechts-Universität Kiel, Kiel, Germany",2015.94,1
1928,"Nicola  Gennaioli Dipartimento di Finanza, Università Commerciale Luigi Bocconi, Milano, Italy",2016.54,0.5
1929,"Guglielmo  Weber Dipartimento di Scienze Economiche ""Marco Fanno"", Università degli Studi di Padova, Padova, Italy",2018.03,0.5
1930,Luciano  Boggio †,2018.95,1
1931,"Andres  Perea School of Business and Economics, Maastricht University, Maastricht, NetherlandsResearch Center for Epistemic Game Theory (Epicenter), School of Business and Economics, Maastricht University, Maastricht, Netherlands",2022.21,1
1932,"Lawrence W. Kenny Economics Department, University of Florida, Gainesville, Florida (USA)",2023.73,1
1933,"David  Veredas Vlerick Business School, Gent, Belgium",2025.34,1.5
1934,"Martin  Boileau Department of Economics, University of Colorado, Boulder, Colorado (USA)",2027.63,1
1935,"Francois  Gourio Federal Reserve Bank of Chicago, Chicago, Illinois (USA)",2027.82,2
1936,"Wilbert H van der Klaauw Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",2028.59,1
1937,"Kai A. Konrad Max-Planck-Institut für Steuerrecht und öffentliche Finanzen, Max-Planck-Gesellschaft, München, Germany",2030.08,1
1938,"Farid  Toubal Département d'Économie et de Gestion, École Normale Supérieure Paris-Saclay (ENS), Cachan, France",2030.54,1
1939,"Gordon J. Alexander Carlson School of Management, University of Minnesota, Minneapolis, Minnesota (USA)",2031.16,0.5
1940,"Peter  Rupert Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)Laboratory of Aggregate Economics and Finance (LAEF), University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",2031.19,1
1941,"Georges  Dionne HEC Montréal (École des Hautes Études Commerciales), Montréal, Canada",2033.66,1
1942,"Laurent  Bouton Economics Department, Georgetown University, Washington, District of Columbia (USA)",2034.57,1.5
1943,"Robin  Cubitt School of Economics, University of Nottingham, Nottingham, United KingdomCentre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of Nottingham, Nottingham, United Kingdom",2038.04,0.5
1944,"Michihiro  Kandori Faculty of Economics, University of Tokyo, Tokyo, Japan",2038.64,1
1945,"Athanasios  Geromichalos Economics Department, University of California-Davis, Davis, California (USA)",2039.17,2
1946,"Xuezhong  He Finance Discipline Group, Business School, University of Technology Sydney, Sydney, Australia",2039.45,2
1947,"John C. Bergstrom Department of Agricultural and Applied Economics, University of Georgia, Athens, Georgia (USA)",2039.54,1
1948,"Rodolfo M. Nayga Jr.Department of Agricultural Economics and Agribusiness, University of Arkansas, Fayetteville, Arkansas (USA)",2039.74,1
1949,"Robert G Chambers Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)",2040.49,1
1950,"Rodolfo E. Manuelli Department of Economics, Washington University in St. Louis, St. Louis, Missouri (USA)",2042.01,0.5
1951,"John Edward McLaren Department of Economics, University of Virginia, Charlottesville, Virginia (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2044.29,1.5
1952,"Rodney Edward Falvey School of Business, Bond University, Gold Coast, Australia",2045.64,0.5
1953,"Donald J Wright School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia",2046.43,1
1954,"Bruno Cara Giovannetti Escola de Economia de São Paulo (EESP), Fundação Getúlio Vargas (FGV), São Paulo, Brazil",2047.24,1
1955,"Robert J. Oxoby Department of Economics, University of Calgary, Calgary, Canada",2047.63,3
1956,"Michael P. Cameron Department of Economics, Waikato Management School, University of Waikato, Hamilton, New Zealand",2049.46,3
1957,"Kai-Uwe  Kuhn Centre for Economic Policy Research (CEPR), London, United KingdomEconomics Department, University of Michigan, Ann Arbor, Michigan (USA)",2050.67,1
1958,"Isabella  Procidano Dipartimento di Management, Università Ca' Foscari Venezia, Venezia, Italy",2051.12,1
1959,"Carter  Hill Department of Economics, Ourso College of Business, Louisiana State University, Baton Rouge, Louisiana (USA)",2053.15,1
