Rank,Author,Score,Author_clean
1541,"Chris Doucouliagos Department of Economics, Business School, Deakin University, Melbourne, Australia",1653,Chris Doucouliagos
1542,"Gaurav Datt Department of Economics, Monash Business School, Monash University, Melbourne, Australia",1652,Gaurav Datt
1543,"Justin Yifu Lin China Center for Economic Research (CCER), Peking University, Beijing, China",1651,Justin Yifu
1544,"Ehud Kalai Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",1650,Ehud Kalai
1544,"Christopher R. Knittel Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1650,Christopher R. Knittel
1546,"Luca Antonio Ricci Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",1649,Luca Antonio
1546,"Andrew F. Newman Department of Economics, Boston University, Boston, Massachusetts (USA)",1649,Andrew F. Newman
1548,"Guofu Zhou Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)China Economics and Management Academy, Central University of Finance and Economics (CUFE), Beijing, China",1648,Guofu Zhou Olin
1549,"Edward B. Barbier Department of Economics, Colorado State University, Fort Collins, Colorado (USA)",1647,Edward B. Barbier
1550,"Katharine Gail Abraham Department of Economics, University of Maryland, College Park, Maryland (USA)",1646,Katharine Gail
1551,"Norbert Schady Inter-American Development Bank, Washington, District of Columbia (USA)",1643,Norbert Schady
1551,"Jonathan Levin Department of Economics, Stanford University, Stanford, California (USA)",1643,Jonathan Levin
1551,"Amit Seru Graduate School of Business, Stanford University, Stanford, California (USA)",1643,Amit Seru
1554,"Stephen Parente Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)Centro Ricerche Nord Sud (CRENoS), Italy",1642,Stephen Parente
1554,"Frank Joseph Chaloupka IVDepartment of Economics, University of Illinois at Chicago, Chicago, Illinois (USA)",1642,Frank Joseph
1554,"Arnaud Costinot Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",1642,Arnaud Costinot
1557,Edward Nathan Wolff,1639,Edward Nathan
1557,"Henri L.F. de Groot Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",1639,Henri L.F. de
1557,"Thomas K. Bauer RWI - Leibniz-Institut für Wirtschaftsforschung, Essen, Germany",1639,Thomas K. Bauer
1557,"Hans-Theo Normann Düsseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf, Düsseldorf, Germany",1639,Hans-Theo Normann
1561,"Tomas Havranek Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",1638,Tomas Havranek
1561,"Jens Hainmueller Graduate School of Business, Stanford University, Stanford, California (USA)",1638,Jens Hainmueller
1563,"B Ravikumar Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",1637,B Ravikumar Research
1564,"Gur Huberman Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",1636,Gur Huberman
1564,"Peter M. DeMarzo Graduate School of Business, Stanford University, Stanford, California (USA)",1636,Peter M. DeMarzo
1566,"Abul Mansur M. Masih Business School, Universiti Kuala Lumpur, Kuala Lumpur, Malaysia",1635,Abul Mansur M.
1566,"Sumit Agarwal Department of Economics, National University of Singapore (NUS), Singapore, Singapore",1635,Sumit Agarwal
1568,"Nicholas S Souleles Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1634,Nicholas S
1569,"Edward J. Kane Finance Department, Wallace E. Carroll School of Management, Boston College, Chestnut Hill, Massachusetts (USA)",1633,Edward J. Kane
1569,"Erik E. Lehmann Fakultät für Wirtschaftswissenschaften, Universität Augsburg, Augsburg, Germany",1633,Erik E. Lehmann
1569,"Kevin Milligan Vancouver School of Economics, University of British Columbia, Vancouver, Canada",1633,Kevin Milligan
1572,"Enrico Spolaore Department of Economics, Tufts University, Medford, Massachusetts (USA)",1632,Enrico Spolaore
1573,"Michihiro Kandori Faculty of Economics, University of Tokyo, Tokyo, Japan",1630,Michihiro Kandori
1574,"Lucia Smith Foster Center for Economic Studies, Census Bureau, Department of Commerce, Government of the United States, Washington, District of Columbia (USA)",1629,Lucia Smith
1574,"Federico Sturzenegger Departamento de Economía, Universidad de San Andrés, Buenos Aires, Argentina",1629,Federico Sturzenegger
1576,"Siew Hong Teoh Paul Merage School of Business, University of California-Irvine, Irvine, California (USA)",1628,Siew Hong
1577,"Jan Svejnar School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)Center for Economic Research and Graduate Education and Economics Institute (CERGE-EI), Praha, Czech Republic",1627,Jan Svejnar
1578,"Janos Kornai Department of Economics, Harvard University, Cambridge, Massachusetts (USA)Összehasonlító Gazdaságtan Tanszék, Közgazdaságtudományi Kar, Budapesti Corvinus Egyetem, Budapest, Hungary",1623,Janos Kornai
1578,"Yann Algan Department of Economics, Sciences économiques, Sciences Po, Paris, France",1623,Yann Algan
1578,"John Duffy Department of Economics, University of California-Irvine, Irvine, California (USA)",1623,John Duffy
1581,"Raman Uppal Département Comptabilité, Droit, Finance et Économie, Groupe EDHEC (École de Hautes Études Commerciales du Nord), Lille/Paris, France",1621,Raman Uppal
1582,"Pedro Santa-Clara School of Business and Economics, Universidade Nova de Lisboa, Lisboa, Portugal",1620,Pedro Santa-Clara
1582,"Tommaso Valletti Dipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma ""Tor Vergata"", Roma, Italy",1620,Tommaso Valletti
1584,"Jorge Martinez-Vazquez International Center for Public Policy, Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",1619,Jorge Martinez-Vazquez
1585,"Norman Rasmus Swanson Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",1618,Norman Rasmus
1585,"Benjamin Miranda Tabak Escola de Políticas Públicas e Governo (EPPG), Fundação Getúlio Vargas (FGV), Brasília, Brazil",1618,Benjamin Miranda
1587,"Mirjam Van Praag Institut for Organisation, Copenhagen Business School, København, Denmark",1617,Mirjam Van
1588,"Eddie Dekel Department of Economics, Northwestern University, Evanston, Illinois (USA)Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",1615,Eddie Dekel
1589,"Valerie Mignon EconomiX, Université Paris-Nanterre (Paris X), Nanterre, France",1614,Valerie Mignon
1589,John Russel Baldwin,1614,John Russel
1589,"Joop Hartog Amsterdam School of Economics, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, NetherlandsAmsterdams Instituut voor ArbeidsStudies (AIAS), Universiteit van Amsterdam, Amsterdam, Netherlands",1614,Joop Hartog
1592,"Luis M B Cabral Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",1613,Luis M
1592,"Gerhard Glomm Department of Economics, Indiana University, Bloomington, Indiana (USA)",1613,Gerhard Glomm
1594,"Thomas Lubik Economic Research Division, Federal Reserve Bank of Richmond, Richmond, Virginia (USA)",1612,Thomas Lubik
1594,"Matthew Turner Economics Department, Brown University, Providence, Rhode Island (USA)",1612,Matthew Turner
1596,"Hao Zhou PBC School of Finance, Tsinghua University, Beijing, China",1611,Hao Zhou
1597,"Harry Garretsen Ruimtelijke Economie Groningen, Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",1609,Harry Garretsen
1598,"Wei-Xing Zhou School of Business, East China University of Science and Technology, Shanghai, China",1608,Wei-Xing Zhou
1599,"Efe A. Ok Department of Economics, New York University (NYU), New York City, New York (USA)",1605,Efe A. Ok
1600,"Eytan Sheshinski Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",1603,Eytan Sheshinski
1600,"Eduardo M.R.A. Engel Facultad de Economía y Negocios, Universidad de Chile, Santiago, Chile",1603,Eduardo M.R.A. Engel
1600,"Bart Hobijn Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",1603,Bart Hobijn Department
1600,"Ray C. Fair Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)Economics Department, Yale University, New Haven, Connecticut (USA)",1603,Ray C. Fair
1604,"Antonio Estache European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",1602,Antonio Estache
1605,"Erik Stafford Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",1601,Erik Stafford
1606,"Bob Chirinko Department of Finance, College of Business Administration, University of Illinois at Chicago, Chicago, Illinois (USA)CESifo, München, Germany",1599,Bob Chirinko
1607,Bradley T. Ewing,1597,Bradley T. Ewing
1608,"Ram Mudambi Fox School of Business and Management, Temple University, Philadelphia, Pennsylvania (USA)",1596,Ram Mudambi
1609,"Daniel McMillen Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",1595,Daniel McMillen
1610,"Roberto A. Weber Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",1594,Roberto A. Weber
1610,"Joel Waldfogel Carlson School of Management, University of Minnesota, Minneapolis, Minnesota (USA)",1594,Joel Waldfogel
1612,"Jan Potters https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",1592,"Jan Potters https://www.tilburguniversity.edu/research/economics-and-management/graduate-school,"
1613,"Martin Anthony Carree Vakgroep Organisatie en Strategie, School of Business and Economics, Maastricht University, Maastricht, Netherlands",1589,Martin Anthony
1613,"Robert Kollmann Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",1589,Robert Kollmann
1615,"Rossen Valkanov Rady School of Management, University of California-San Diego (UCSD), La Jolla, California (USA)",1588,Rossen Valkanov
1616,"Hyungsik Roger Moon Department of Economics, University of Southern California, Los Angeles, California (USA)",1587,Hyungsik Roger
1617,"Phillip B. Levine Department of Economics, Wellesley College, Wellesley, Massachusetts (USA)",1586,Phillip B. Levine
1617,"Toke S Aidt Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",1586,Toke S
1617,"Anders Bjorklund Institutet för Social Forskning (SOFI), Stockholms Universitet, Stockholm, Sweden",1586,Anders Bjorklund
1617,"Dallas Burtraw Resources for the Future (RFF), Washington, District of Columbia (USA)",1586,Dallas Burtraw
1617,"Marco Francesconi Economics Department, University of Essex, Colchester, United Kingdom",1586,Marco Francesconi
1622,"Barbara Rossi Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1585,Barbara Rossi
1622,"Michael A. Clemens Center for Global Development (CGD), Washington, District of Columbia (USA)",1585,Michael A. Clemens
1622,"Michael Wolf Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",1585,Michael Wolf
1625,"Costas Arkolakis Economics Department, Yale University, New Haven, Connecticut (USA)",1584,Costas Arkolakis
1625,"Thomas Mathiasen Selden Agency for Healthcare Research and Quality, Government of the United States, Rockville, Maryland (USA)",1584,Thomas Mathiasen
1627,"Bhaskar Dutta Economics, Ashoka University, Sonepat, India",1583,Bhaskar Dutta
1628,"John C. Driscoll Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",1582,John C. Driscoll
1629,"Stephen D. Williamson Department of Economics, University of Western Ontario, London, Canada",1580,Stephen D. Williamson
1629,"GianCarlo Moschini Department of Economics, Iowa State University, Ames, Iowa (USA)",1580,GianCarlo Moschini
1631,"Stephen Geoffrey Donald Department of Economics, University of Texas-Austin, Austin, Texas (USA)",1579,Stephen Geoffrey
1631,Joachim R. Frick †,1579,Joachim R. Frick
1633,"Kaivan Munshi Economics Department, Brown University, Providence, Rhode Island (USA)",1578,Kaivan Munshi
1634,"Kathryn Mary Elizabeth Dominguez Economics Department, University of Michigan, Ann Arbor, Michigan (USA)Gerald R. Ford School of Public Policy, University of Michigan, Ann Arbor, Michigan (USA)",1577,Kathryn Mary Elizabeth
1634,"Dora L. Costa Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",1577,Dora L. Costa
1636,"Mike Tsionas Management School, Lancaster University, Lancaster, United Kingdom",1576,Mike Tsionas
1637,"Kevin Allen Hassett American Enterprise Institute, Washington, District of Columbia (USA)",1575,Kevin Allen
1637,Charles T. Carlstrom †,1575,Charles T. Carlstrom
1639,"Matthew Buford Canzoneri Economics Department, Georgetown University, Washington, District of Columbia (USA)",1574,Matthew Buford
1639,"Francis Vella Economics Department, Georgetown University, Washington, District of Columbia (USA)",1574,Francis Vella
1639,"Kenneth R. Troske Department of Economics, Carol Martin Gatton College of Business and Economics, University of Kentucky, Lexington, Kentucky (USA)",1574,Kenneth R. Troske
1642,"Peter Martinsson Nationalekonomiska institutionen, Handelshögskolan, Göteborgs Universitet, Göteborg, Sweden",1573,Peter Martinsson
1642,"Frank Van Oort Capaciteitsgroep Toegepaste Economie, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",1573,Frank Van
1644,"Jun Yu School of Economics, Singapore Management University, Singapore, Singapore",1572,Jun Yu
1644,"Ali M. Kutan Department of Economics and Finance, Southern Illinois University, Edwardsville, Illinois (USA)",1572,Ali M. Kutan
1646,"A. Mitchell Polinsky Stanford Institute for Economic Policy Research (SIEPR), Stanford University, Stanford, California (USA)",1571,A. Mitchell Polinsky
1646,"Philippe Artzner Laboratoire de Recherche en Gestion (LaRGE), Institut de Finance de Strasbourg, Université de Strasbourg, Strasbourg, France",1571,Philippe Artzner
1648,"Bernard Fortin Département d'Économique, Université Laval, Québec, Canada",1570,Bernard Fortin
1649,"Victor A. Ginsburgh European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",1569,Victor A. Ginsburgh
1650,"Andreas Peichl ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",1567,Andreas Peichl ifo
1650,"Luc L. Soete United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",1567,Luc L. Soete
1652,"Christoph M. Schmidt RWI - Leibniz-Institut für Wirtschaftsforschung, Essen, Germany",1566,Christoph M. Schmidt
1653,"Luis Garicano IE Business School, Universidad IE, Madrid, Spain",1565,Luis Garicano
1653,"Ratna Sahay International Monetary Fund (IMF), Washington, District of Columbia (USA)",1565,Ratna Sahay
1653,"Timothy James Hatton Economics Department, University of Essex, Colchester, United Kingdom",1565,Timothy James
1656,"Hooi Hooi Lean Economics, Universiti Sains Malaysia, Minden, Malaysia",1563,Hooi Hooi
1656,David W. Wilcox,1563,David W. Wilcox
1656,"Gaetan J.A. Nicodeme Directorate-General Taxation and Custom Union, European Commission, Bruxelles/Brussel, Belgium",1563,Gaetan J.A. Nicodeme
1659,"Simone Manganelli European Central Bank, Frankfurt am Main, Germany",1559,Simone Manganelli
1660,"Pierre Siklos Department of Economics, School of Business and Economics, Wilfrid Laurier University, Waterloo, Canada",1556,Pierre Siklos
1661,"Reyer Gerlagh https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",1555,"Reyer Gerlagh https://www.tilburguniversity.edu/research/economics-and-management/graduate-school,"
1662,T. N. Srinivasan †,1554,T. N. Srinivasan
1663,"Bernard M.S. van Praag Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, NetherlandsSchooling, Labor Market and Economic Development (SCHOLAR), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",1552,Bernard M.S. van
1663,"Andre Sapir European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, BelgiumBruegel, Bruxelles/Brussel, Belgium",1552,Andre Sapir
1665,"Ronald Demos Lee Center on the Economics and Demography of Aging (CEDA), University of California-Berkeley, Berkeley, California (USA)",1551,Ronald Demos
1665,"Glenn Cartman Loury Economics Department, Brown University, Providence, Rhode Island (USA)",1551,Glenn Cartman
1667,"Behzad T. Diba Economics Department, Georgetown University, Washington, District of Columbia (USA)",1549,Behzad T. Diba
1667,"William D. Lastrapes Department of Economics, Terry College of Business, University of Georgia, Athens, Georgia (USA)",1549,William D. Lastrapes
1669,Alan M. Rugman †,1548,Alan M. Rugman
1669,"James Bushnell Economics Department, University of California-Davis, Davis, California (USA)",1548,James Bushnell
1669,"Chris Papageorgiou Research Department, International Monetary Fund (IMF), Washington, District of Columbia (USA)",1548,Chris Papageorgiou
1672,"Francisco L. Rivera-Batiz School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",1547,Francisco L. Rivera-Batiz
1672,"Ted C. Schroeder Department of Agricultural Economics, Kansas State University, Manhattan, Kansas (USA)",1547,Ted C. Schroeder
1672,Til Schuermann,1547,Til Schuermann
1672,"Erik Dietzenbacher Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, NetherlandsSOM Research Institute, Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",1547,Erik Dietzenbacher
1676,"Henry Tulkens Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, BelgiumCESifo, München, Germany",1546,Henry Tulkens
1676,"Simon van Norden HEC Montréal (École des Hautes Études Commerciales), Montréal, Canada",1546,Simon van
1678,"Michael Pfaffermayr Fakultät für Volkswirtschaft und Statistik, Leopold-Franzens-Universität Innsbruck, Innsbruck, Austria",1545,Michael Pfaffermayr
1678,"Hugo F. Sonnenschein Department of Economics, University of Chicago, Chicago, Illinois (USA)",1545,Hugo F. Sonnenschein
1680,"Bernd Fitzenberger Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, Germany",1544,Bernd Fitzenberger
1681,"Catherine Louise Kling Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",1541,Catherine Louise Kling
1682,"Michael Olaf Hoel Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",1540,Michael Olaf
1683,"Susan Vroman Economics Department, Georgetown University, Washington, District of Columbia (USA)",1539,Susan Vroman
1684,"Uta Schoenberg Department of Economics, University College London (UCL), London, United Kingdom",1538,Uta Schoenberg
1685,"Ali Hortacsu Department of Economics, University of Chicago, Chicago, Illinois (USA)",1537,Ali Hortacsu
1686,"John David Cummins Fox School of Business and Management, Temple University, Philadelphia, Pennsylvania (USA)",1536,John David
1686,"Joseph E. Gagnon Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",1536,Joseph E. Gagnon
1688,"Lukas Menkhoff DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",1533,Lukas Menkhoff
1688,"Joaquin Maudos Instituto Valenciano de Investigaciones Económicas (IVIE), Valencia, SpainDepartament d'Anàlisi Económica, Facultad de Economía, Universidad de València, València, Spain",1533,Joaquin Maudos
1690,"Michael Storper London School of Economics (LSE), London, United Kingdom",1532,Michael Storper
1690,"Ricardo Lagos Department of Economics, New York University (NYU), New York City, New York (USA)",1532,Ricardo Lagos
1692,"Attila Varga Közgazdasátan és Ökonometria Intézet, Közgazdaságtudományi Kar, Pécsi Tudományegyetem, Pécs, Hungary",1527,Attila Varga
1692,James Dana Fearon,1527,James Dana
1694,"Jaime A.P. de Melo Fondation pour les études et recherches sur le développment international (FERDI), Clermont-Ferrand, France",1526,Jaime A.P. de
1694,"Anna Alberini Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)",1526,Anna Alberini
1696,Moshe Buchinsky,1525,Moshe Buchinsky
1696,"Reint Eberhard Gropp Leibniz-Institut für Wirtschaftsforschung Halle (IWH), Halle, Germany",1525,Reint Eberhard
1698,"J. Doyne Farmer Economics, Oxford Martin School, Oxford University, Oxford, United Kingdom",1524,J. Doyne Farmer
1699,"Haroon Mumtaz School of Economics and Finance, Queen Mary University of London, London, United Kingdom",1522,Haroon Mumtaz
1699,"Johannes Van Biesebroeck Centrum voor Economische Studiën, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",1522,Johannes Van
1699,"Shmuel Israel Nitzan Department of Economics, Bar Ilan University, Ramat-Gan, Israel",1522,Shmuel Israel
1699,"Chinhui Juhn Department of Economics, University of Houston, Houston, Texas (USA)",1522,Chinhui Juhn
1703,"Rafael Repullo Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",1521,Rafael Repullo
1703,Sanjaya Lall †,1521,Sanjaya Lall
1703,"Rachel Kranton Department of Economics, Duke University, Durham, North Carolina (USA)",1521,Rachel Kranton
1706,"Ansgar Belke Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaften, Universität Duisburg-Essen, Essen, Germany",1520,Ansgar Belke
1706,"Robert James Weber Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",1520,Robert James
1706,"Daniel F. Spulber Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",1520,Daniel F. Spulber
1709,"Wouter Denhaan Economics Department, London School of Economics (LSE), London, United Kingdom",1519,Wouter Denhaan
1709,"Stephen Polasky Department of Applied Economics, College of Agricultural, Food, and Environmental Sciences, University of Minnesota-St. Paul, St. Paul, Minnesota (USA)",1519,Stephen Polasky Department
1709,"John Roemer Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)Economics Department, Yale University, New Haven, Connecticut (USA)",1519,John Roemer
1712,"Enrique Sentana Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",1518,Enrique Sentana
1712,"Dirk G. Baur Kühne Logistics University, Hamburg, Germany",1518,Dirk G. Baur
1714,"Frans A.A.M. van Winden Centre for Research in Experimental Economics and Political Decision-Making (CREED), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, NetherlandsTinbergen Instituut, Amsterdam, Netherlands",1516,Frans A.A.M. van
1714,"Jorg Breitung Institut für Ökonometrie und OR, Rheinische Friedrich-Wilhelms-Universität Bonn, Bonn, Germany",1516,Jorg Breitung
1716,"Mikhail Golosov Department of Economics, University of Chicago, Chicago, Illinois (USA)",1515,Mikhail Golosov
1717,"Mark Huggett Economics Department, Georgetown University, Washington, District of Columbia (USA)",1514,Mark Huggett
1717,"Sergio S Urzua Department of Economics, University of Maryland, College Park, Maryland (USA)",1514,Sergio S
1717,Antonio Fatas,1514,Antonio Fatas
1717,"Jorg Oechssler Alfred-Weber-Institut für Wirtschaftswissenschaften, Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg, Heidelberg, Germany",1514,Jorg Oechssler
1721,"Brian Davern Wright Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",1513,Brian Davern
1722,"Michael Lokshin Europe and Central Asia Region, World Bank Group, Washington, District of Columbia (USA)",1512,Michael Lokshin
1723,Robert E. Baldwin †,1511,Robert E. Baldwin
1723,"Richard Evans Romano Warrington College of Business, University of Florida, Gainesville, Florida (USA)",1511,Richard Evans
1723,"Kathryn Shaw Graduate School of Business, Stanford University, Stanford, California (USA)",1511,Kathryn Shaw
1723,"Pablo T. Spiller Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",1511,Pablo T. Spiller
1723,Robert H. Frank,1511,Robert H. Frank
1728,"Pascaline Dupas Department of Economics, Stanford University, Stanford, California (USA)",1509,Pascaline Dupas
1728,"Marcelo Olarreaga Geneva School of Economics and Management, Université de Genève, Genève, Switzerland",1509,Marcelo Olarreaga
1730,"Theo Vermaelen Economic and Political Sciences Area, INSEAD, Fontainebleau, FranceINSEAD, Fontainebleau, France",1506,Theo Vermaelen
1730,"Adriana Kugler McCourt School of Public Policy, Georgetown University, Washington, District of Columbia (USA)",1506,Adriana Kugler
1732,"Mario John Crucini Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",1505,Mario John
1733,"Paul Gregg Institute for Policy Research, University of Bath, Bath, United KingdomCentre for the Analysis of Social Policy (CASP), University of Bath, Bath, United Kingdom",1503,Paul Gregg
1734,"Yener Altunbas Bangor Business School, Bangor University, Bangor, United Kingdom",1501,Yener Altunbas
1735,"Dennis C. Mueller Institut für Volkswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, Austria",1500,Dennis C. Mueller
1736,"Dale Jorgenson Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",1499,Dale Jorgenson
1736,"Deborah A. Cobb-Clark School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia",1499,Deborah A. Cobb-Clark
1736,"Fernando Alvarez Department of Economics, University of Chicago, Chicago, Illinois (USA)",1499,Fernando Alvarez
1739,"Helmut Bester Fachbereich Wirtschaftswissenschaft, Freie Universität Berlin, Berlin, Germany",1498,Helmut Bester
1740,"Amir Yaron Finance Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1496,Amir Yaron
1740,Rosario Nunzio Mantegna,1496,Rosario Nunzio
1742,"Kalina Manova Department of Economics, University College London (UCL), London, United Kingdom",1495,Kalina Manova
1743,"Luc Christiaensen World Bank Group, Washington, District of Columbia (USA)",1494,Luc Christiaensen
1744,"Franz C. Palm Vakgroep Kwantitatieve Economie, School of Business and Economics, Maastricht University, Maastricht, Netherlands",1492,Franz C. Palm
1745,"Seppo Mikko Sakari Honkapohja Taloustieteen Laitos, Kauppakorkeakoulu, Aalto-yliopisto, Helsinki, Finland",1490,Seppo Mikko
1745,Richard A. Posner,1490,Richard A. Posner
1747,"Thomas Lux Institut für Volkswirtschaftslehre, Christian-Albrechts-Universität Kiel, Kiel, GermanyDepartament d'Economia, Universitat Jaume I, Castellón de la Plana, Spain",1489,Thomas Lux
1748,"Amit Goyal Swiss Finance Institute, Genève/Zürich, SwitzerlandInstitut de Banque et Finance (IBF), Faculté des Hautes Études Commerciales (HEC), Université de Lausanne, Lausanne, Switzerland",1488,Amit Goyal
1749,"John Denis Hey Department of Economics and Related Studies, University of York, York, United Kingdom",1487,John Denis
1750,"Theo Nijman Departement Econometrie & Operations Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",1486,Theo Nijman
1750,"William Arnold Barnett Department of Economics, University of Kansas, Lawrence, Kansas (USA)",1486,William Arnold
1752,"Fabiano Schivardi Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, ItalyDipartimento di Economia e Finanza (DEF), Libera Università Internazionale degli Studi Sociali Guido Carli (LUISS), Roma, Italy",1485,Fabiano Schivardi
1753,"Rosemarie Chariklia Nagel Departament d'Economia i Empresa, Universitat Pompeu Fabra, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1484,Rosemarie Chariklia
1753,"Enrico Perotti Finance Group, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",1484,Enrico Perotti
1755,"Yasushi Hamao Department of Finance and Business Economics, Marshall School of Business, University of Southern California, Los Angeles, California (USA)",1483,Yasushi Hamao
1755,"Alejandro Micco Departamento de Economía, Facultad de Economía y Negocios, Universidad de Chile, Santiago, Chile",1483,Alejandro Micco
1757,"Erik Teodoor Verhoef Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",1482,Erik Teodoor
1758,"Stefano Neri Banca d'Italia, Roma, Italy",1481,Stefano Neri
1759,"Jerry G. Thursby Scheller College of Business, Georgia Institute of Technology, Atlanta, Georgia (USA)",1480,Jerry G. Thursby
1759,"Benjamin F. Jones Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",1480,Benjamin F. Jones
